region_id,region_name,iso,P_permitting,Q_queue,L_load,S_policy,moratoria_count,has_ban,queued_bess_mw,installed_bess_mw,peak_load_mw,bess_to_peak_ratio,forecast_load_growth_pct,has_dc_cluster,policy_flags
NYISO_GHI,Zones G/H/I — Lower Hudson Valley,NYISO,3,3,3,3,8,True,2448,150,6500,0.38,25,True,"ISC,Order_2023"
NYISO_J,Zone J — New York City,NYISO,3,2,3,3,1,True,2371,50,11500,0.21,30,True,"ISC,Order_2023"
NYISO_K,Zone K — Long Island,NYISO,3,2,2,3,10,True,1651,200,5250,0.31,15,False,"ISC,Order_2023"
ERCOT_HOU,Houston,ERCOT,2,2,3,3,2,False,32427,2200,30000,1.08,35,True,"RTC+B,AS_redesign"
ERCOT_NORTH,North (DFW Corridor),ERCOT,1,2,3,3,1,False,57929,2000,25000,2.32,40,True,"RTC+B,AS_redesign"
NYISO_ABCDEF,Zones A–F — Rest of State,NYISO,2,3,2,3,6,False,4580,100,13000,0.35,10,False,"ISC,Order_2023"
ERCOT_WEST,West (Permian Basin),ERCOT,2,3,2,2,0,True,47220,2000,8000,5.90,20,False,RTC+B
ERCOT_SOUTH,South (San Antonio / Corpus),ERCOT,1,3,2,2,0,False,49791,2000,15000,3.32,15,False,RTC+B
